Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.223058133,2.055485928,0.186907631,17.06355004,21.18513773,-3.857808858,-1.655492522,-5.874439462,-0.418781726,6.16194332,12.91393144,6.81314995,27.13683528,-6.829704742,-14.0736377,16.9476082,7.816343263,-4.687809713,-8.805834055,8.920287042,-17.59023576,0.664177638,-0.415663968,7.611566485,18.50487082,-12.03375347,8.298275364,8.979311249,-0.971130901,0.923362087,5.254015487,4.244572582,-2.272666799,6.572317635,
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.110449009,0.832667071,0.452925037,0.272549227,1.234468151,0.399891848,0.543122957,0.06668739,0.16048065,-0.021744199,0.315505263,0.218758943,0.363474559,0.050856526,0.411673813,0.071656821,0.291565974,0.156864208,0.270623096,0.189615037,0.032597329,0.467183869,0.280992982,0.363573689,0.507232477,1.015331798,0.797450555,2.093078955,1.589543578,2.447424518,1.558123129,4.837767563,2.503636381,2.488971701,1.866595682,2.064944399,1.271598278,2.479682255,3.243913675,2.611594357,1.641914553,1.84510127,2.53538188,2.190644513,2.760357268,3.11932499,1.893653701,0.983709041,1.367465027,1.507539491,1.358590244,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.013151224,0.024575271,0.009401115,0.015576924,,,0.001565217,-0.008126411,,0.032450496,0.247135743,0.005174216,,,,,,,,,,,,,,,,,,,,,1.232991023,1.280018761,3.575816135,4.364535244,3.414004444,1.935703036,0.455360078,0.451888843,1.203117228,0.293024934,0.285441076,0.239801324,0.209664813,0.88400092,0.516606368,0.274796599,0.661572002,0.124495944,0.064476334,
Africa Western and Central,AFW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.562940504,2.095359121,1.862606669,1.869109399,1.069686614,1.573802261,0.86623894,0.959633106,0.875995338,0.863457092,-0.275515669,0.431018447,0.481129435,0.569283759,0.30285364,0.785831325,0.191695238,0.945947481,0.631293375,1.891620662,0.700627992,0.710418559,1.042554823,1.844551889,2.766994692,0.874800864,1.051850204,1.115529326,1.320732809,1.56206687,1.823296116,2.178418387,2.4915613,2.571369381,1.831517138,2.987571842,2.339749473,2.821762746,2.880493478,3.581495967,3.190408673,3.651528716,2.874318107,2.334030677,1.918868368,2.056324947,2.018262936,2.583174144,2.088750558,1.557969209,1.383284374,
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0.630975104,0.88370687,2.086485073,1.803662496,1.095005676,3.680383595,3.308793892,1.472066849,1.493856279,1.960573064,-2.981627998,6.266630536,3.466087528,5.236863254,3.837036558,8.52948884,2.398993967,5.382318076,17.12159065,40.16725096,9.62386631,24.00911706,11.40619007,20.08101417,9.329243428,-3.526655479,-0.072001021,-1.368761628,1.896315059,3.136661988,-3.950096347,-2.763036188,-1.171719655,-5.337280602,2.664964244,11.49770327,-0.360184269,-10.72495142,-8.299051825,-5.913333838,-3.480978078,
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3.066661599,4.893212106,2.817722808,2.925485967,2.815940618,2.103152805,1.767895793,1.282641334,4.108775955,5.285432754,3.104827074,3.172708178,4.750174509,3.259769193,3.6548522,6.108980067,9.682070394,11.17064089,9.138134146,8.135333475,7.451357228,9.816287648,8.693038722,8.69053622,8.805091978,7.855470516,7.946351351,7.797918141,7.069484097,
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.467651045,-0.082709506,0.264742722,-0.800383314,-2.874281004,1.400205735,0.073177701,0.651234227,0.570070551,0.097295319,-0.492499439,1.776946463,2.945310215,1.529300183,1.578602646,0.48464051,0.658914747,0.026424294,0.383026611,0.277016418,0.476908424,0.453676485,0.739301848,0.903331591,0.973778087,0.055117594,0.597091741,1.356873404,1.498368894,0.427141384,0.471363119,1.116323542,0.768172335,1.646663378,2.027209909,3.551838922,4.517820324,4.571266392,3.940454975,3.874571746,3.008250184,1.759777514,1.830849006,1.467223083,1.087717473,1.019859755,1.311999687,1.170805536,1.221468529,1.399579305,1.579742045,
United Arab Emirates,ARE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,0.108351027,0.257273417,0.451274584,0.16453683,0.206818389,0.223951383,-0.034337775,0.203892014,0.106393608,0.407195241,-0.544187527,0.324685539,0.128404884,0.520707069,0.093548785,-0.228435309,0.050317964,0.239162943,0.721471949,0.105319789,0.608195467,0.408474867,0.294815986,0.340485312,-1.166835786,-0.485281533,1.14589217,0.086781366,3.422662713,6.767152113,6.034816039,5.765437532,5.500439718,1.604874609,0.447367364,3.035593695,2.039574591,2.553894806,2.503134089,2.746344622,2.38762008,2.690072345,2.685185459,2.45971482,4.284274398,5.540874714,
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.284224297,0.377464477,0.206489502,0.190792478,0.024738815,0.106009598,0.478175477,0.253605959,0.430419501,0.29746292,0.88095511,1.06384544,0.269252481,0.177920359,0.338845892,1.039396769,0.51742271,-0.017100757,0.908825708,1.341390409,1.298881665,1.285578854,1.936712402,1.179802812,1.411953029,2.17392759,2.553203406,3.127877939,2.438768962,8.460582171,3.665790595,0.806164135,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.04464008,2.8066719,1.779205536,0.96240665,1.977134618,0.584749932,1.789364285,2.232532213,1.468400457,1.212206746,
Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188555394,0.066593811,0.608291637,1.724422757,1.100209246,3.168053635,12.27077974,6.612580809,5.450433156,3.298067417,4.659499749,4.376570097,6.909902013,5.96010634,7.307315032,7.252331977,8.092349209,8.788694552,5.716037845,6.440668367,4.676727878,3.111931481,3.502114247,1.744736992,3.165367601,2.192573404,2.142047626,0.736361472,0.463426769,
American Samoa,ASM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,2.838828589,-7.851674675,7.792447419,14.91276489,15.1513374,13.99288246,2.745079414,2.111599509,6.475072997,7.781293571,11.44696733,8.266114709,9.824047262,13.19071072,11.37466266,3.93528478,2.847809989,4.205572242,5.454043858,3.053644795,3.371116686,3.128911776,6.759662403,5.217506275,12.29912553,8.08774098,19.42104893,8.73806634,21.60032983,30.9952184,25.76289072,11.58946123,6.565554607,8.416401826,5.72771404,10.78106076,11.36647426,3.701837809,8.530357747,6.782192764,10.30476282,12.75541809,7.57100155,5.365871269,
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.160616089,2.55439865,2.024949641,0.211511829,1.492140234,0.461332148,0.996478544,1.033647374,1.414638503,1.104169706,1.243881362,1.326081318,1.177881265,1.686630893,0.221211134,1.162198202,2.944456003,2.740501133,3.590682322,2.676460519,2.716688879,0.801485903,1.518342913,1.702015158,1.38115953,3.606497775,1.137888703,1.85794238,1.90223486,0.56821494,3.583693629,2.827113531,3.707244673,1.922426815,6.986327979,-3.610133447,4.086796754,5.204029362,4.280055279,3.090725991,3.068235066,4.689499921,3.72131318,3.455196407,4.306815708,3.472167543,3.560954294,3.632469395,4.292849405,2.809090017,1.408357582,
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.732777983,0.799227882,0.659123093,0.544663569,0.503135898,0.197482692,0.212360453,0.187813706,0.229467874,0.253498583,0.291619754,0.461073495,0.291714011,0.299662997,0.16950712,0.243804294,0.185185793,0.318512007,0.33405512,0.437230959,0.392278455,0.207141576,0.761498882,0.590980025,1.019884108,0.757178582,1.822337535,1.254274377,2.094684188,1.369102304,4.308900395,2.880598393,0.064528798,2.362045255,1.056085516,25.65582783,3.12253335,17.69484601,1.458422741,3.559366135,-5.610176315,5.324236737,1.274693933,0.104862186,0.386858115,-2.088056539,-7.310916958,3.23990498,-6.284657043,-2.948459382,-4.204124881,
Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000636943,1.84360822,13.65334778,19.74845946,28.13657252,23.0067972,11.13880978,2.464289176,14.35913016,32.46670119,55.07029725,54.3652722,33.79504714,21.37906362,13.90071471,8.160909658,6.547600843,6.337255133,6.800620683,7.596083568,3.531931399,5.888108916,7.626336333,11.88265332,7.016879437,2.977946112,3.121830561,1.187903872,
Burundi,BDI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.041197603,,0.166123341,0.144575222,0.063719451,0.076011909,0.017840706,-0.045659135,0.14584771,-0.038338821,0.500148584,1.143391787,0.088825529,0.280720857,0.120549786,0.046832717,0.12682003,0.120879772,0.110552499,0.050921501,0.11089421,0.076452053,0.055407891,0.050464886,0.000427861,0.198107378,0,0,0,-0.058805185,1.342151992,-0.001304856,0,0,0.004882857,0.052340423,0.002481106,0.036885808,0.23781629,0.019557301,0.038411912,0.150056708,0.025925039,4.761250541,3.021202699,1.598672939,0.002099796,0.011667981,0.036981256,0.040482327,0.304762123,
Belgium,BEL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.175757114,1.435198353,1.037371775,1.505954653,2.029158567,1.453450549,1.225906902,1.539028796,1.418122729,0.97156477,1.217999173,1.323832479,1.598528905,1.479281134,0.467153203,1.218860737,0.608121459,1.576310715,3.211644354,4.274890291,3.918892271,4.447539571,4.806934393,4.783692639,3.476574826,3.711024447,5.03718761,4.74788988,8.776794077,46.34845715,37.4753123,37.25646948,7.01242444,10.86487449,12.05211067,8.727177202,14.40787139,20.50267401,36.80292045,16.00700292,26.066982,31.26598335,2.380369601,-5.680612374,-2.840147495,-4.220796953,12.08629548,-7.416757538,-7.65649927,-5.617632907,-3.368107512,
Benin,BEN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.008226185,0.835638833,1.169784725,0.693926704,-0.422446607,0.279190961,0.351140017,0.416775236,0.081107282,0.300788154,0.307173179,0.161898129,-0.000960154,0.000958313,0.001088613,-0.00860657,0.082329041,0.00640036,-1.336959782,-0.074450533,-0.150760025,0.019825555,0.056291442,-0.951216946,-0.444751627,-0.356668621,-0.620945778,0.537109689,0.46002923,0.253298427,-0.363490771,0.456588188,-0.462423397,0.19887034,-0.658688556,-0.133820379,-0.175764659,1.703869671,0.492562945,-0.193121755,0.561144791,1.508440422,2.527057585,2.878637331,3.054209748,1.315011826,1.114881282,1.581705088,1.360735835,1.516207775,1.111838789,
Burkina Faso,BFA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.087259211,0.207292078,-0.120982603,0.65207064,0.355462844,0.03191582,0.209923287,0.439346788,0.078612968,0.085216826,0.001036957,0.136836496,0.111145953,0.123728444,0.114392956,-0.092109906,0.154200991,0.056122059,0.141817368,0.216777279,0.014832487,0.018181553,0.092741652,0.099338813,0.969328512,0.412551083,0.627288462,0.398984056,0.157122702,0.233833728,0.778458229,0.196436738,0.414815874,0.614299265,0.263190291,0.848145934,1.280645725,0.284717928,0.351169691,0.59946891,0.384492249,1.190744868,2.62145971,3.647667554,2.562551392,1.959927164,3.043803422,0.018237033,1.689199557,1.007346446,-0.550797503,
Bangladesh,BGD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,0.001431242,0.028936308,0.017582473,0.00793555,0.053572593,0.072322993,0.057974213,-0.051460024,0.046917945,0.026469536,0.037570041,0.002294153,-0.002924127,-0.029894396,0.011189931,0.013190726,0.006916145,0.000861339,0.010249846,0.004491464,0.011737576,0.042361655,0.033012231,0.004998378,0.029134955,0.288896568,0.380236167,0.350304291,0.525362089,0.145443905,0.095579368,0.445960783,0.689472336,1.17120896,0.635657188,0.817754424,1.449748396,0.879494542,1.068934861,0.983166534,1.18810285,1.73541854,1.468712877,1.451287647,0.879489436,0.616295207,0.753510983,0.543233649,0.407944224,
Bulgaria,BGR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.019387274,0.510803242,0.400946215,0.369354299,1.086887367,0.476207946,0.886595383,4.460945746,3.574799738,6.008429812,7.560896912,5.731605871,5.515261,9.916246541,11.74617068,13.72019166,22.90436308,31.24701892,18.91424711,7.490200026,3.636197822,3.64749334,3.29296826,3.563940273,1.915839992,4.374365216,2.758707092,3.390724217,2.727195092,3.223154012,5.186069313,
Bahrain,BHR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,-13.60487852,0.119671754,0.780566095,1.716035322,3.602315292,2.774743282,-1.0455694,-1.058491537,5.998132318,4.680938941,2.169265594,13.41821743,18.28257949,-5.288191223,3.740326911,7.361126807,33.56601753,5.186228818,2.902019672,6.852999957,4.011545582,0.895243944,2.261808944,4.665543678,6.580210025,6.566594458,15.75086501,8.08243219,6.977577827,1.12105291,0.605800046,2.71349353,5.023465326,11.45597327,4.548430831,0.20899286,0.754928694,1.462722688,0.294085491,3.884090323,2.941180435,
"Bahamas, The",BHS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,14.91763483,9.532612469,15.3037739,15.24072142,22.68184693,2.948674925,2.273789129,4.403927069,-0.132148006,0.842252953,0.307047106,2.41149667,0.17740607,-0.346260388,-0.240066631,-1.301331551,-0.533872599,0.39793664,1.302388303,0.829523187,-0.536955148,-0.041785058,0.009649405,0.882923674,0.724148512,3.117526976,2.432806872,3.316299136,2.149791753,1.943031311,3.098507145,1.230729649,1.720383373,2.144284895,3.021438297,5.727971168,6.947601367,6.718093412,8.171729024,6.651599485,8.636992163,6.619575093,4.908082645,3.618851062,2.248346282,0.641346873,3.298802126,2.464779351,3.85240196,3.655246092,4.480641268,
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621115881,3.772741435,2.623764483,2.042748181,3.979471976,4.492344562,8.757987379,5.558366263,6.575891686,11.67373968,5.257502029,0.786376209,2.583954499,2.529460858,2.276131265,1.724021679,2.935566048,2.361861175,1.851678066,2.817782479,2.982458849,2.217060429,2.16993805,
Belarus,BLR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041086957,0.108101523,0.070318665,0.105205324,0.708145893,2.488603004,1.334908888,3.657787145,0.932726195,0.775405865,1.693132683,0.963663961,0.707732068,1.014977462,0.966328359,3.991616143,3.600682329,3.688518931,2.435056533,6.480801966,2.228206919,2.973864618,2.362529221,2.926769593,2.612805022,2.332138504,2.376261878,1.976877774,2.263147347,
Belize,BLZ,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,13.31867248,5.641194476,,,,,,,1.467351431,-0.032938076,,-1.01994058,,,-1.725891577,1.739999472,1.985854495,2.437006421,4.373723962,5.052367303,4.173881521,3.058098818,3.008332503,1.64225508,2.64412612,3.392849228,2.58392295,1.826353851,2.561163189,8.007221191,3.553134335,7.018766042,2.73102777,-1.102700131,10.54184132,11.41824008,8.985567182,10.94009542,12.54397796,8.241680711,6.949212961,6.500347188,12.68172146,5.83165447,8.416634329,3.408783129,1.821630802,1.725378071,6.465901769,4.827668954,4.805833216,
Bermuda,BMU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.183158775,3.280366226,1.819859206,1.922292821,1.135720499,0.137152332,0.308131446,18.54303395,0.897674182,-1.435058594,9.120047167,2.457444723,-1.062917926,3.356840803,-4.084882161,0.74651445,0.849151218,-0.053405783,-2.150326914,-1.061083159,-4.033835397,1.320463261,0.059134468,6.924462198,
Bolivia,BOL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.943356388,0.173417323,1.288549484,0.364221265,2.106082734,2.561527844,-0.296487826,-0.037181214,0.305995851,0.791614566,1.035815457,1.28487871,0.555941039,0.129088027,0.113461722,0.185967742,0.252564834,0.876273749,-0.219679086,-0.517389954,0.558798941,0.973186031,1.649570505,2.158796528,2.176804377,5.84790925,6.409384069,9.218144086,11.17146116,12.19662945,8.768250417,8.668583389,8.557893506,2.44235449,0.745772609,-2.498880018,2.451682359,2.791837856,3.072601833,2.439678146,3.165443564,3.584442149,3.913550146,5.706622119,1.989824856,1.68072788,0.988080149,1.899493281,0.750524781,-0.529735011,-3.083516483,
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.925399504,0.918767247,0.787030229,1.412451076,1.100145985,1.007712209,1.015218821,1.039445031,1.001604534,1.092897634,0.804992589,0.97668674,1.072557546,0.848375851,0.846341839,0.818174863,0.159812019,0.492173257,1.083394628,0.32591017,0.253118796,0.321941125,0.627993818,0.350804999,0.584730927,0.631585791,1.475965411,2.150452394,3.340887134,4.733769827,5.033917141,4.147593261,3.253580633,1.813400594,2.71353208,1.733893572,1.753125435,3.190826559,2.990608926,1.888482404,3.73001227,3.915179541,3.754962108,3.041509229,3.571352613,3.592149731,4.137378539,3.338260284,4.077487084,3.692673304,2.60853064,
Barbados,BRB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,0.768958542,1.116208676,1.582317434,0.992531437,1.625477453,4.520763343,2.894454322,3.347679161,3.01995707,1.306616854,2.67282392,0.344084832,0.500725185,0.416576138,1.433142785,0.432814011,0.557283807,0.367464176,0.738375064,0.455674015,0.601949041,2.877965523,0.670002532,1.128869605,1.035130214,1.610513839,2.408790453,2.995741069,7.350499076,5.754830615,6.62895921,10.212368,8.1155066,10.19263623,12.85543398,7.972135568,9.389493259,9.866521878,11.45411429,2.225442064,16.04838618,14.57293,11.53573415,1.836400695,4.739711132,4.060396991,5.589040324,
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,47.76075082,-8.885033173,-1.395768428,0.066960368,0.193744821,0.072755017,-2.170672393,-0.189874752,0.235372803,0.012483148,-0.397052039,-0.254453865,0.145629281,0.094155024,0.021149904,0.104154467,-0.256508875,-0.00254133,0.017095811,0.334955862,0.198832471,0.135074277,0.167322084,0.194850769,0.14410357,12.31005697,12.77659781,13.501925,14.15031268,16.25801453,9.158360446,1.08362189,3.930498376,1.888281555,1.438021789,1.836754981,0.765769354,2.103544653,1.543688044,3.033690978,3.507036879,3.730949183,4.540677437,4.286776224,3.356501991,1.324701748,-1.320522338,3.858208317,3.804741353,2.771141484,4.710565406,
